Year,Affected_District,Affected_Province
2002,Giá Rai,Bạc Liêu
2003,Long Phú,Sóc Trăng
2004,Cái Nước,Cà Mau
2004,Ngọc Hiển,Cà Mau
2004,TP Cần Thơ,Cần Thơ
2004,Châu Thành,Hậu Giang
2004,Châu Thành A,Hậu Giang
2004,Ô Môn,Cần Thơ
2004,Thốt Nốt,Cần Thơ
2004,Vĩnh Thạnh,Cần Thơ
2004,Gò Công Tây,Tiền Giang
2004,Thạnh Trị,Sóc Trăng
2006,Vĩnh Lợi,Bạc Liêu
2006,Phụng Hiệp,Hậu Giang
2008,Gò Công Đông,Tiền Giang
2008,Bình Minh,Vĩnh Long
2009,Mỏ Cày,Bến Tre
2009,Mỏ Cày,Bến Tre
2009,Cờ Đỏ,Cần Thơ
2009,Hồng Ngự,Đồng Tháp
2009,Mỹ Tú,Sóc Trăng
2010,An Biên,Kiên Giang
2010,An Minh,Kiên Giang
2010,Vĩnh Thuận,Kiên Giang
2010,Kiên Lương,Kiên Giang
2010,Long Phú,Sóc Trăng
2010,Mỹ Xuyên,Sóc Trăng
2013,Mộc Hóa,Long An
2015,Long Mỹ,Hậu Giang
2015,Cai Lậy,Tiền Giang
2015,Duyên Hải,Tiền Giang
2015,Trà Cú,Trà Vinh
